title,keywords,publisher,users,price,author,ing,genre,viewCount,score,uploaded,reviewCount,date,free_info
아이돌 육성의 천재,#매니저#먼치킨#천재#경영/기업#전문직#방송#회사원,kwbooks,전체이용가,100원/회차 당,Boot붓,완결,현판,82.3만,9.8,전체 202,"전체 1,219",20.03.17,26장
마녀의 위장 결혼(외전 포함),#현대로맨스#계약관계#라이벌/앙숙#사내연애#계략남#짝사랑남#로맨틱코미디,코핀커뮤니케이션즈,15세이용가,100원/회차 당,킴쓰컴퍼니,완결,로맨스,1.7만,10.0,전체 92,전체 4,20.03.17,4장
엑스트라가 너무 강함,#먼치킨#성장#빙의,kwbooks,전체이용가,100원/회차 당,김재한,월~금 연재,판타지,"6,391.2만",9.8,"전체 1,276",전체 5.8만,20.03.16,5장
더 로그,#정통,엠스토리허브,전체이용가,100원/회차 당,홍정훈,완결,판타지,23.5만,9.9,전체 516,전체 301,20.03.13,27장
"스폰, 거부할 수 없는",#현대로맨스#연예계물#오해물#재회물#베이비메신저#첫사랑#상처남#능력남#계략남#순정녀#상처녀#갑을관계,코핀커뮤니케이션즈,15세이용가,100원/회차 당,김소한,완결,로맨스,17.7만,9.7,전체 43,전체 56,20.03.13,2장
다섯 번째 제자,#정통#선계#깽판#먼치킨#마교#명문세가#망나니#살수#검#낭인#지존#퓨전#사파#고인물#도사,kwbooks,전체이용가,100원/회차 당,산두,완결,무협,110.1만,8.8,전체 222,"전체 1,531",20.03.13,20장
정령사용설명서,#정통#정령#먼치킨#정령술사,제이플미디어,전체이용가,100원/회차 당,아길론,완결,판타지,551.6만,9.8,전체 201,"전체 7,394",20.03.13,20장
검은 달이 뜨면,#동양풍#복수물#회귀물#수인물#운명#다정남#소유욕/독점욕#순정남#직진남#능력녀#도도녀#걸크러쉬#정략결혼#드라마#권선징악,연담,15세이용가,100원/회차 당,유미미,완결,로맨스,"1,584.6만",9.9,전체 271,전체 1.3만,20.03.12,2장
별의 목소리가 들려[완결],#천재#성장#복수#마법사#정령술사#마검사#생존#정령#검사#만능#성좌,kwbooks,전체이용가,100원/회차 당,테양이,완결,판타지,4.2만,8.4,전체 151,전체 110,20.03.12,50장
재각성을 하고 보니 마왕이 되었다,#성장#시스템#먼치킨#마왕,에이시스미디어,전체이용가,100원/회차 당,L영G,완결,판타지,62.2만,9.1,전체 206,전체 787,20.03.10,25장
헌터 세상의 정령왕,#정령#먼치킨,제이플미디어,전체이용가,100원/회차 당,청송,완결,판타지,362.9만,9.8,전체 423,"전체 5,986",20.03.09,20장
입술 좀 빌려주세요,#현대로맨스#복수물#재벌남#능력남#사이다남#직진남#엉뚱발랄녀#외유내강#사이다녀#다정녀#상처녀#계약관계#달달물#로맨틱코미디#권선징악,코핀커뮤니케이션즈,15세이용가,100원/회차 당,김소한,완결,로맨스,941.4만,9.9,전체 98,전체 1.1만,20.03.09,2장
1년차 만렙 매니저,#전문직#경영/기업#복수#생존#방송#회귀#먼치킨#천재#노력#성장#고인물#PD/감독#매니저,고렘팩토리,전체이용가,100원/회차 당,현신,월~금 연재,현판,2.1억,9.7,"전체 1,514",전체 11.7만,20.03.06,15장
이건 제가 알던 원작이 아닌데요?,#로맨스판타지#빙의물#다정남#조신남#능력녀#계략녀,코핀커뮤니케이션즈,전체이용가,100원/회차 당,리아레,목~일 연재,로판,2.3만,9.8,전체 99,전체 35,20.03.06,4장
얼음의 기억 [완결],#이능력#초능력#미스테리#정통#성장,판오름,전체이용가,100원/회차 당,김호연,완결,판타지,1.7만,9.6,전체 66,전체 31,20.03.06,10장
피아니스트의 마을,#전문직#천재#노력#성장#조력자,kwbooks,전체이용가,100원/회차 당,경우勁雨,완결,현판,139.2만,9.8,전체 258,"전체 2,490",20.03.06,25장
도핑 히어로,#천재#성장#레이드#아티팩트#고인물#복수#생존#아포칼립스#망나니#깽판#신#회귀#용병,kwbooks,전체이용가,100원/회차 당,소락,완결,판타지,215.7만,9.7,전체 501,"전체 5,142",20.03.04,20장
제가 버리겠습니다,#로맨스판타지,교보문고,전체이용가,100원/회차 당,킬렉,완결,로판,8.8만,9.7,전체 120,전체 82,20.03.02,5장
정치 9단 변호사,#전문직#경영/기업#생존#방송#천재#노력#조력자#법조인#정치가#재벌,kwbooks,전체이용가,100원/회차 당,산경,완결,현판,"1,060.5만",9.0,전체 300,전체 1.4만,20.02.27,20장
시작부터 무쌍 [완결],#대체역사#빙의,스토리위즈,전체이용가,100원/회차 당,고유성,완결,판타지,22.9만,9.8,전체 120,전체 141,20.02.26,39장
최종 보스의 아들이 되었다,#차원이동#빙의#시스템#노력#성장#정령술사,연필,전체이용가,100원/회차 당,월운,완결,판타지,509.3만,9.3,전체 278,"전체 7,708",20.02.25,15장
당신에게 특별한 [단독 선공개],#현대로맨스#운명#연하남#존댓말남#능력녀#걸크러쉬,제이플미디어,15세이용가,100원/회차 당,몬백,완결,로맨스,20.2만,9.7,전체 72,"전체 1,817",20.02.25,2장
