cusno,age,region,product_20,product_21,price_20,price_21,quantity_20,quantity_21,amount_20,amount_21,age_group,married
1001,49,2,30,10,5661.737838177871,73013897.18074977,170565.51631829358,136602.26872815963,965697237.6276278,9973864003574.998,4,0.0
1001,49,2,20,20,39409.36683573103,67867910.98126025,164537.82003008353,135614.7684399959,5017582235.991443,9203891032229.865,4,1.0
1001,49,2,30,30,42723.3805784734,88797376.55016685,179466.29551162402,138577.20913438278,1375956040.159209,12305292620777.008,4,1.0
1001,49,2,10,10,43985.75234563034,76216438.49815984,172355.77194141826,133096.02980437918,7000220015.783189,10144105369934.715,4,0.0
1001,49,2,30,10,10895.403719592992,73212088.95866165,118882.87369791477,140800.95147559937,1295276904.2841644,10308331784895.783,4,0.0
1001,49,2,30,10,11509.004127148915,65814828.475671925,166743.7497752984,129596.50254185549,1919054504.3401954,8529371585839.199,4,0.0
1001,49,2,30,20,5667.482215006311,82589568.50605656,179279.86113277363,118255.77696852792,1016065424.4787958,9766693593179.182,4,1.0
1001,49,2,20,30,47309.37479252652,86333876.322162,175527.26411825238,119584.67830566816,4424441554.028693,10324208826867.084,4,1.0
1001,49,2,20,10,34777.99299349626,72663641.79832241,148768.37541766555,117853.97847336633,5173865517.929393,8563699276295.891,4,0.0
1002,38,7,20,30,49560.07437349904,69580026.01934063,161750.51826075485,170998.20579230043,4736543893.480884,11898059608288.828,3,1.0
1002,38,7,30,20,2592.4406497663895,71433020.65291171,160160.82259837855,139893.17095969114,415207427.0040599,9992991770364.926,3,1.0
1002,38,7,20,30,48712.28357955611,63584782.39161147,163438.45123427195,134075.40941163138,4276674498.740908,8525155731504.798,3,1.0
1002,38,7,20,10,22196.71304869764,85446177.42820334,174264.28512294454,179521.86276679442,3868094331.510429,15339456938213.088,3,0.0
1002,38,7,10,10,40743.99089478851,74690003.1399422,178486.71280124565,183949.35739137264,8348706938.26416,13739178081151.973,3,0.0
1002,38,7,30,10,10719.016555671258,74660317.47823448,148934.45035789817,162295.0919681493,1596430839.0961096,12117003091501.29,3,0.0
1002,38,7,20,30,45850.89130751316,87167459.28759696,133866.2588901658,158393.2606856453,3333368429.4957066,13806738102245.719,3,1.0
1003,34,7,30,20,14078.44056433189,68358352.74781382,176456.39559758996,169371.58238640608,2484230877.6169057,11577962374225.357,3,0.0
1003,34,7,30,10,5141.1951008563865,71390163.6242053,181511.3425014965,183577.20931092327,933185224.8185594,13105607010381.797,3,0.0
1003,34,7,30,10,9928.581480656634,73721324.25979185,171935.76106659175,145301.97085689177,1707078213.1883667,10711853709127.744,3,0.0
1003,34,7,30,10,9629.875741081014,82909957.28194219,168266.90233515427,185174.7324650357,1620389360.8241503,15352829158371.182,3,0.0
1003,34,7,10,10,45987.2736713316,87000563.48115994,149542.05603619656,172595.7863241146,5423320000.86293,15015930664671.85,3,0.0
1003,34,7,30,30,44784.1534949057,82139529.22579315,141260.61822107466,177127.2001478834,1313950458.529313,14549144833229.982,3,1.0
1003,34,7,30,10,14484.948849399878,80605180.72306974,160417.11522324072,187685.53376510696,2323633708.576928,15128426368242.254,3,0.0
1003,34,7,30,10,10360.172402627939,79163089.53688431,146017.13964612514,171875.14022053988,1512762740.4724555,13606167114443.145,3,0.0
1003,34,7,30,10,11348.695638837049,51804871.48580894,152559.69511681952,202590.2703588609,1731353546.6345596,10495162920216.076,3,1.0
1003,34,7,30,10,9458.361257060204,71432577.80160332,169907.9928475991,179397.1489281752,1607051176.8145933,12814800798197.691,3,0.0
1004,28,9,10,20,47877.48054575878,68847081.17692377,175854.27609792308,99153.61170470432,8099100527.57629,6826436754018.957,2,1.0
1004,28,9,30,10,14242.807824214184,85268678.19270343,178764.50690535744,69547.54188947917,2546108517.6434155,5930226968467.561,2,0.0
1004,28,9,10,20,46994.68102357625,70153956.84766263,172843.97365077675,101405.0644624431,6261975712.889623,7113966516432.681,2,1.0
1004,28,9,30,20,4999.782969996162,91547635.00734262,140776.2257182007,106318.783261762,703850575.9261956,9733233164472.557,2,0.0
1004,28,9,10,20,36692.58426938993,71678373.29765128,154252.88135931297,76432.45028572548,5857811355.015864,5478553703634.404,2,0.0
1004,28,9,30,10,4339.843671602408,67342813.15416083,151833.18920935006,95227.73910874689,658932305.3294089,6412903841893.516,2,0.0
1004,28,9,30,20,6301.122547598453,86443665.77751003,183473.33014156576,105200.47508460986,1156087937.437995,9093914707849.287,2,0.0
1004,28,9,10,30,42299.273107928224,76072057.68438824,192998.61862781207,90786.41444677116,7900638299.771602,6906309356753.553,2,0.0
1004,28,9,10,30,37383.089334092896,76966911.43420897,137917.2537076598,76388.53675722617,6499741542.034514,5879389743182.244,2,1.0
1004,28,9,10,30,45883.41922471336,83556669.84830694,129173.3148365581,68680.10001213962,6362412972.882872,5738680441863.052,2,1.0
1005,48,2,20,20,47397.11020964125,73020166.36726372,174149.75227652478,115992.63227991172,5288344803.921886,8469801306455.998,4,0.0
1005,49,2,30,10,6548.122685334776,69111736.60007253,194825.6490489128,130832.21178783942,1275742252.2222576,9042041359886.062,4,0.0
1005,47,2,20,10,21835.305524805306,81211677.35323788,157911.90196128373,137669.36800933012,3448054625.3277326,11180360296197.887,4,0.0
1005,52,2,20,10,30577.505048723473,71871981.54444875,163980.41187583024,130089.9357439686,5014111872.024954,9349821460909.035,5,0.0
1005,51,2,20,20,36838.417327656905,70809335.58429551,157915.3057999175,162227.4886133882,4762442850.235461,11487220682222.885,5,1.0
1005,49,2,30,30,43429.10060727471,69017387.64703439,187192.91900242475,111927.40250766458,2723985175.6814575,7724936927197.136,4,1.0
1005,48,2,20,20,45083.83582762866,74281373.08344427,134115.5246618456,126161.30837648873,2933322741.9503846,9371435216209.422,4,1.0
1006,54,9,30,20,6662.608718070911,69609980.86553149,175729.49409513737,133326.529697417,1170816859.3804529,9280857181104.912,5,1.0
1006,54,9,30,20,3486.1578598384704,81751875.57828237,165339.30573863088,115905.09536177423,576398920.2409639,9475458934904.72,5,0.0
1006,54,9,10,20,38533.14593547094,73464266.38657373,166672.02646971948,140077.2153776414,6436245337.039889,10290669865192.51,5,0.0
1006,54,9,30,10,6024.0298912242315,77337121.24429113,153994.73875949462,126289.86049914398,927668909.3784623,9766894253346.91,5,0.0
1006,54,9,30,30,44617.797456805114,63547918.20370254,141483.02517801934,121583.32157670968,255694783.53163117,7726366974491.209,5,1.0
1006,54,9,30,10,7629.6900409185,81248852.87056307,162403.99270584117,120155.16612166348,1239092125.7531571,9762469413857.102,5,0.0
1006,54,9,10,10,48068.83555576285,80048853.7729665,155698.37966105397,139925.7376209687,6449602059.8905115,11200894909895.4,5,1.0
1006,54,9,30,10,12732.235637118929,81012520.6112681,183203.92485118468,131850.3959779866,2332595540.8503118,10681532921770.5,5,1.0
1006,54,9,30,10,12002.754710241144,86952331.47323872,167252.08494047154,125902.5151859044,2007485750.3168967,10947517233759.23,5,0.0
1007,55,6,20,10,24912.65431317917,77756915.83338517,164010.03860609056,135541.53600478568,4085925395.684704,10539291807051.865,5,0.0
1007,55,6,30,30,49125.88863669025,79977634.44273916,180518.860559662,95541.33760938227,2362971188.4877753,7641170173493.502,5,1.0
1007,55,6,30,30,37057.0337190212,77532065.86184105,167005.0206545544,159900.87632351945,2237249316.962136,12397445274481.21,5,1.0
1007,55,6,30,30,47287.54387957103,70717604.81548043,166079.6295567322,151389.7188909293,1230257164.2119045,10705918313655.41,5,1.0
1007,55,6,30,10,5467.535731973373,73555099.73943259,180834.0483645439,126987.24514736416,988716620.9905449,9340559482450.146,5,0.0
1007,55,6,30,10,3639.8318530045517,73561389.92242768,162021.9524648836,125473.02455682696,589732663.4676726,9229970084171.092,5,0.0
1007,55,6,30,10,1164.7798661901604,82859246.80818889,159959.50992030217,131515.63114630408,186317616.5608132,10897286140286.344,5,0.0
1007,55,6,30,20,11635.181928412436,67695910.43520322,174559.00867279168,137432.7249488465,2031025823.1512554,9303633439003.033,5,0.0
1007,55,6,20,10,17855.211560942604,60027737.62198432,194738.67514312267,109234.70133095572,3477100243.77813,6557111990710.432,5,0.0
1008,28,3,10,30,39896.97693450352,82676392.96105084,140341.50259688415,118836.79312602876,6748003674.5714245,9824997406718.658,2,1.0
1008,38,3,30,10,3263.598294968162,81207599.92755155,162129.71899688846,117203.8424301278,529126274.48191243,9517842746037.61,3,0.0
1008,30,3,30,30,43521.5268074392,70850858.76832984,126696.60559206792,129650.82301516835,1145445601.3099706,9185872150645.422,3,0.0
1008,38,3,20,20,40115.096804638015,63130529.07546463,175539.42445240446,126433.84126600748,2670978041.125274,7981835292166.365,3,0.0
1008,32,3,30,30,43532.62685413042,65529703.20012181,173411.9193227944,99728.2654594001,1604969865.5150025,6535163636217.449,3,1.0
1008,31,3,30,10,2612.5179523407023,81895958.89517581,201840.0472489577,123711.8076013983,527310746.9391976,10131497110172.014,3,0.0
1008,27,3,30,10,5873.127256731582,75283911.58920261,151972.8251041024,121822.4386859047,892555741.4014055,9171269703610.705,2,1.0
1008,30,3,20,30,49096.959873796804,84635086.96224162,171458.1136639385,124174.33831727364,3675712140.021798,10509505921961.266,3,1.0
1008,30,3,30,30,37132.44660528292,69234446.90851447,171649.4542272308,145500.72737550613,2508215851.0318,10073662384629.717,3,0.0
1008,28,3,20,20,47812.82588667942,71879239.14144488,186652.74162923705,128492.4417527935,6440631009.972319,9235938948617.22,2,1.0
1009,31,1,30,20,4261.04343085376,70547050.66152167,166619.2857179257,107551.58975665383,709972012.861913,7587447451289.854,3,1.0
1009,30,1,10,20,39625.43188206513,77332894.22897439,145619.08427922902,98373.6906888017,7249677665.5414715,7607522216950.944,3,0.0
1009,48,1,10,10,37594.45492518004,83976731.76527144,192025.0397014775,88683.52458374503,8437537934.889592,7447352555968.013,4,0.0
1009,37,1,30,10,13160.154922086525,80749000.77705392,155851.78007373933,84129.46396553982,2051033570.6533673,6793370151126.505,3,0.0
1009,43,1,20,10,31063.895665544922,89265861.1983737,188101.7171500168,95448.82931722276,5843172116.057964,8520321949378.47,4,0.0
1009,58,1,30,10,1543.4666061422085,74070467.77549261,188184.4810988249,93256.0638330656,290456462.37023586,6907520271016.367,5,1.0
